period,year,month,index_value,is_provisional,series_id,series_name,source,source_url,data_retrieved_at
2021-08-01,2021,8,467.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-07-01,2021,7,465.4,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-06-01,2021,6,459.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-05-01,2021,5,454.4,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-04-01,2021,4,452.1,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-03-01,2021,3,448.5,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-02-01,2021,2,442.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2021-01-01,2021,1,439.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-12-01,2020,12,438.3,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-11-01,2020,11,435.7,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-10-01,2020,10,431.8,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-09-01,2020,9,427.9,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-08-01,2020,8,426.6,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-07-01,2020,7,426.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
2020-06-01,2020,6,426.2,False,40010,מחירי דירות,CBS (Israeli Central Bureau of Statistics),https://api.cbs.gov.il/index/data/price?id=40010&format=json&download=false,2026-08-22 12:48:53.727585+00:00
